id,course,title,attempted,passed_first,rate%,help,difficulty
2152,156,Минимальное число после двоичного дописывания выше 700,14,11,78.6,0,EASY
2149,156,Дописывание двух бит по сумме,15,12,80.0,4,EASY
9502,156,Замена бит по чётности числа,15,12,80.0,0,EASY
2155,156,Максимальное число при троичной обработке,11,9,81.8,0,NORMAL
2281,156,Минимальное итоговое число после дописывания,12,10,83.3,2,EASY
2283,156,Минимальное число после двукратного дописывания остатка,12,10,83.3,1,EASY
2068,156,Число с разностью двузначных из цифр,12,10,83.3,0,NORMAL
4818,156,Перевод чисел в двоичную форму,15,13,86.7,1,THEORY
4555,156,Максимальное число после двоичного дописывания до 416,15,13,86.7,1,EASY
2150,156,Обратный код восьмибитного числа,15,13,86.7,0,EASY
3106,156,Минимальное нечётное число по троичной записи,10,9,90.0,0,NORMAL
2291,156,Числа из отрезка после трёх дописок,11,10,90.9,3,NORMAL
2285,156,Минимальное число после трёх дописок,12,11,91.7,0,EASY
2069,156,Минимум числа для произведений цифр,13,12,92.3,0,EASY
2070,156,Минимальное число для двоичного удвоения,13,12,92.3,0,EASY
4129,156,Двойное дописывание по чётности суммы,15,14,93.3,2,EASY
9559,156,Вставка единицы в середину записи,15,14,93.3,1,EASY
4820,156,Удаление последнего символа и добавление 11,15,14,93.3,0,THEORY
4821,156,Замена последнего символа вторым символом,15,14,93.3,0,THEORY
2151,156,Двойное дописывание по единицам,15,14,93.3,0,EASY
3451,156,Инверсия восьмибитного числа,15,15,100.0,1,THEORY
3240,156,Пары чисел с делением на делители,15,15,100.0,0,THEORY
4819,156,Подсчёт единиц в двоичных числах,15,15,100.0,0,THEORY
3450,156,Наибольшее и наименьшее двузначные числа,15,15,100.0,0,THEORY
2154,156,Максимальное число после двоичного дописывания по тройке,13,13,100.0,0,EASY
2282,156,Минимальное число с дописанными битами,13,13,100.0,0,EASY
2289,156,Минимальное число после замены первых битов,12,12,100.0,0,EASY
2288,156,Максимальное число после дописывания битов,12,12,100.0,0,EASY
2286,156,Разные значения после удаления единицы,12,12,100.0,0,NORMAL
2156,156,Максимальное число перед результатом 2876,11,11,100.0,0,NORMAL
2284,156,Наименьшее число с результатом 613,11,11,100.0,0,NORMAL
4556,156,Минимальное число для результата не меньше 1025,11,11,100.0,0,NORMAL
2287,156,Разность максимальной и минимальной трёхзначных троек,11,11,100.0,0,NORMAL
3289,156,Минимальное число для двоичного преобразования,11,11,100.0,0,NORMAL
2153,156,Количество трёхзначных чисел с разностью 30,11,11,100.0,0,NORMAL
