id=8011: хвоста нет, пропуск
id=8023: хвоста нет, пропуск
id=8041: хвоста нет, пропуск
id=8052: хвоста нет, пропуск
id=8064: хвоста нет, пропуск
id=8075: хвоста нет, пропуск
id=8085: хвоста нет, пропуск
id=8097: хвоста нет, пропуск
id=8108: хвоста нет, пропуск
id=8119: хвоста нет, пропуск
id=8153: хвоста нет, пропуск
id=8164: хвоста нет, пропуск
id=8172: хвоста нет, пропуск
id=8173: хвоста нет, пропуск
id=8185: хвоста нет, пропуск
id=8186: хвоста нет, пропуск
id=8187: хвоста нет, пропуск
id=8196: хвоста нет, пропуск
id=8197: хвоста нет, пропуск
id=8198: хвоста нет, пропуск
id=8206: хвоста нет, пропуск
id=8220: хвоста нет, пропуск
id=8231: хвоста нет, пропуск
id=8239: хвоста нет, пропуск
id=8251: хвоста нет, пропуск
id=8252: хвоста нет, пропуск
id=8276: хвоста нет, пропуск
id=8278: хвоста нет, пропуск
id=8289: хвоста нет, пропуск
id=8290: хвоста нет, пропуск
id=8301: хвоста нет, пропуск
id=8302: хвоста нет, пропуск
id=8312: хвоста нет, пропуск
id=8313: хвоста нет, пропуск
id=8314: хвоста нет, пропуск
id=8325: хвоста нет, пропуск
id=8337: хвоста нет, пропуск
id=8345: хвоста нет, пропуск
id=8346: хвоста нет, пропуск
id=8358: хвоста нет, пропуск
id=8359: хвоста нет, пропуск
id=8370: хвоста нет, пропуск
id=8381: хвоста нет, пропуск
id=8392: хвоста нет, пропуск
id=8403: хвоста нет, пропуск
id=8415: хвоста нет, пропуск
id=8426: хвоста нет, пропуск
id=8435: хвоста нет, пропуск
id=8446: хвоста нет, пропуск
id=8457: хвоста нет, пропуск
id=8469: хвоста нет, пропуск
id=8470: хвоста нет, пропуск
id=8480: хвоста нет, пропуск
id=8481: хвоста нет, пропуск
id=8491: хвоста нет, пропуск
id=8492: хвоста нет, пропуск
id=8691: хвоста нет, пропуск
id=8708: хвоста нет, пропуск
id=8718: хвоста нет, пропуск
id=8735: хвоста нет, пропуск
id=8752: хвоста нет, пропуск
id=8985: хвоста нет, пропуск
id=8986: хвоста нет, пропуск
id=8995: хвоста нет, пропуск
id=8996: хвоста нет, пропуск
id=9005: хвоста нет, пропуск
id=9006: хвоста нет, пропуск
id=9015: хвоста нет, пропуск
id=9016: хвоста нет, пропуск
id=9025: хвоста нет, пропуск
id=9026: хвоста нет, пропуск
id=9035: хвоста нет, пропуск
id=9036: хвоста нет, пропуск
id=9165: хвоста нет, пропуск
id=9166: хвоста нет, пропуск
id=9175: хвоста нет, пропуск
id=9176: хвоста нет, пропуск
id=9185: хвоста нет, пропуск
id=9186: хвоста нет, пропуск
id=9195: хвоста нет, пропуск
id=9196: хвоста нет, пропуск
id=9205: хвоста нет, пропуск
id=9206: хвоста нет, пропуск
id=9215: хвоста нет, пропуск
id=9216: хвоста нет, пропуск
id=9225: хвоста нет, пропуск
id=9226: хвоста нет, пропуск
id=9235: хвоста нет, пропуск
id=9236: хвоста нет, пропуск
id=9245: хвоста нет, пропуск
id=9246: хвоста нет, пропуск
id=9255: хвоста нет, пропуск
id=9256: хвоста нет, пропуск
id=9265: хвоста нет, пропуск
id=9266: хвоста нет, пропуск
id=9275: хвоста нет, пропуск
id=9276: хвоста нет, пропуск
id=9285: хвоста нет, пропуск
id=9286: хвоста нет, пропуск
id=9295: хвоста нет, пропуск
id=9296: хвоста нет, пропуск
id=9305: хвоста нет, пропуск
id=9306: хвоста нет, пропуск
id=9315: хвоста нет, пропуск
id=9316: хвоста нет, пропуск
id=9325: хвоста нет, пропуск
id=9326: хвоста нет, пропуск
id=9335: хвоста нет, пропуск
id=9336: хвоста нет, пропуск
id=9345: хвоста нет, пропуск
id=9346: хвоста нет, пропуск
id=9355: хвоста нет, пропуск
id=9356: хвоста нет, пропуск
id=9365: хвоста нет, пропуск
id=9366: хвоста нет, пропуск
id=9375: хвоста нет, пропуск
id=9376: хвоста нет, пропуск
id=9385: хвоста нет, пропуск
id=9386: хвоста нет, пропуск
id=9395: хвоста нет, пропуск
id=9396: хвоста нет, пропуск
id=9405: хвоста нет, пропуск
id=9406: хвоста нет, пропуск
id=9726: хвоста нет, пропуск
id=9727: хвоста нет, пропуск
id=9736: хвоста нет, пропуск
id=9737: хвоста нет, пропуск
id=9746: хвоста нет, пропуск
id=9747: хвоста нет, пропуск
id=9756: хвоста нет, пропуск
id=9757: хвоста нет, пропуск
id=9763: хвоста нет, пропуск
id=9764: хвоста нет, пропуск
id=10396: хвоста нет, пропуск
id=10409: хвоста нет, пропуск
id=10431: хвоста нет, пропуск
id=10566: хвоста нет, пропуск
id=10572: хвоста нет, пропуск
id=10577: хвоста нет, пропуск
id=9759: хвоста нет, пропуск
id=9760: хвоста нет, пропуск
id=9761: хвоста нет, пропуск
id=9762: stem 1230→568 симв., критерии None (must=0), provenance=manual_web
id=10397: stem 526→325 симв., критерии draft (must=4), provenance=manual_web
id=10400: stem 764→563 симв., критерии draft (must=4), provenance=manual_web
id=10404: stem 847→622 симв., критерии draft (must=4), provenance=manual_web
id=10418: stem 859→593 симв., критерии draft (must=4), provenance=manual_web
id=10422: stem 1021→830 симв., критерии draft (must=3), provenance=manual_web
id=10426: stem 722→502 симв., критерии draft (must=3), provenance=manual_web
id=10436: stem 1015→701 симв., критерии draft (must=5), provenance=manual_web
id=10439: stem 711→526 симв., критерии draft (must=3), provenance=manual_web
id=10443: stem 879→716 симв., критерии draft (must=3), provenance=manual_web
id=10447: stem 943→687 симв., критерии draft (must=3), provenance=manual_web
id=10451: stem 805→526 симв., критерии draft (must=5), provenance=manual_web
id=10456: stem 872→639 симв., критерии draft (must=4), provenance=manual_web
id=10460: stem 925→649 симв., критерии draft (must=4), provenance=manual_web
id=10465: stem 826→592 симв., критерии draft (must=4), provenance=manual_web
id=10471: stem 1090→783 симв., критерии draft (must=4), provenance=manual_web
id=10476: stem 1152→879 симв., критерии draft (must=3), provenance=manual_web
id=10481: stem 900→632 симв., критерии draft (must=4), provenance=manual_web
id=10485: stem 1090→821 симв., критерии draft (must=4), provenance=manual_web
id=10490: stem 988→657 симв., критерии draft (must=4), provenance=manual_web
id=10494: stem 807→535 симв., критерии draft (must=4), provenance=manual_web
id=10498: stem 888→602 симв., критерии draft (must=4), provenance=manual_web
id=10502: stem 953→592 симв., критерии draft (must=4), provenance=manual_web
id=10506: stem 1006→735 симв., критерии draft (must=4), provenance=manual_web
id=10510: stem 1023→728 симв., критерии draft (must=4), provenance=manual_web
id=10514: stem 1099→803 симв., критерии draft (must=5), provenance=manual_web
id=10518: stem 1026→698 симв., критерии draft (must=4), provenance=manual_web
id=10523: stem 1031→711 симв., критерии draft (must=5), provenance=manual_web
id=10527: stem 944→681 симв., критерии draft (must=4), provenance=manual_web
id=10532: stem 878→622 симв., критерии draft (must=4), provenance=manual_web
id=10537: stem 882→532 симв., критерии draft (must=5), provenance=manual_web
id=10541: stem 994→663 симв., критерии draft (must=5), provenance=manual_web
id=10545: stem 1059→781 симв., критерии draft (must=4), provenance=manual_web
id=10549: stem 537→221 симв., критерии draft (must=4), provenance=manual_web
id=10550: stem 765→449 симв., критерии draft (must=4), provenance=manual_web
id=10556: stem 939→643 симв., критерии draft (must=4), provenance=manual_web
id=10561: stem 975→639 симв., критерии draft (must=4), provenance=manual_web
отчёт: reviews\tsk947\apply-all-3.json (179 строк)
